,team,age,season
0,Augsburg,26.5,2019
1,Bayern Munich,27.4,2019
2,Dortmund,24.8,2019
3,Dusseldorf,26.9,2019
4,Eintracht Frankfurt,26.4,2019
5,Freiburg,25.8,2019
6,Hannover 96,26.3,2019
7,Hertha BSC,25.9,2019
8,Hoffenheim,25.5,2019
9,Bayer Leverkusen,25.3,2019
10,Monchengladbach,26.5,2019
11,Mainz 05,24.2,2019
12,Nurnberg,24.9,2019
13,RB Leipzig,24.0,2019
14,Schalke 04,25.8,2019
15,Stuttgart,26.3,2019
16,Werder Bremen,27.1,2019
17,Wolfsburg,25.4,2019
18,Augsburg,26.2,2020
19,Bayern Munich,26.7,2020
20,Dortmund,25.8,2020
21,Dusseldorf,27.1,2020
22,Eintracht Frankfurt,27.0,2020
23,Freiburg,26.4,2020
24,Hertha BSC,26.2,2020
25,Hoffenheim,26.0,2020
26,Koln,25.6,2020
27,Bayer Leverkusen,26.1,2020
28,Monchengladbach,26.3,2020
29,Mainz 05,24.6,2020
30,Paderborn 07,25.7,2020
31,RB Leipzig,24.2,2020
32,Schalke 04,24.6,2020
33,Union Berlin,27.7,2020
34,Werder Bremen,26.7,2020
35,Wolfsburg,26.0,2020
36,Arminia,26.0,2021
37,Augsburg,27.0,2021
38,Bayern Munich,27.3,2021
39,Dortmund,25.6,2021
40,Eintracht Frankfurt,27.2,2021
41,Freiburg,26.2,2021
42,Hertha BSC,25.4,2021
43,Hoffenheim,25.7,2021
44,Koln,24.9,2021
45,Bayer Leverkusen,25.4,2021
46,Monchengladbach,26.9,2021
47,Mainz 05,25.8,2021
48,RB Leipzig,25.0,2021
49,Schalke 04,25.9,2021
50,Stuttgart,24.1,2021
51,Union Berlin,27.3,2021
52,Werder Bremen,26.3,2021
53,Wolfsburg,25.6,2021
54,Arminia,25.8,2022
55,Augsburg,26.6,2022
56,Bayern Munich,26.8,2022
57,Bochum,28.0,2022
58,Dortmund,25.9,2022
59,Eintracht Frankfurt,26.2,2022
60,Freiburg,26.5,2022
61,Greuther Furth,25.9,2022
62,Hertha BSC,26.7,2022
63,Hoffenheim,26.1,2022
64,Koln,27.0,2022
65,Bayer Leverkusen,24.4,2022
66,Monchengladbach,26.0,2022
67,Mainz 05,26.2,2022
68,RB Leipzig,25.3,2022
69,Stuttgart,24.0,2022
70,Union Berlin,28.3,2022
71,Wolfsburg,26.0,2022
72,Augsburg,25.9,2023
73,Bayern Munich,26.6,2023
74,Bochum,29.4,2023
75,Dortmund,25.8,2023
76,Eintracht Frankfurt,26.4,2023
77,Freiburg,27.4,2023
78,Hertha BSC,26.0,2023
79,Hoffenheim,26.8,2023
80,Koln,26.0,2023
81,Bayer Leverkusen,24.7,2023
82,Monchengladbach,26.8,2023
83,Mainz 05,27.0,2023
84,RB Leipzig,26.3,2023
85,Schalke 04,27.5,2023
86,Stuttgart,24.7,2023
87,Union Berlin,27.9,2023
88,Werder Bremen,27.4,2023
89,Wolfsburg,24.8,2023
