,team,age,season
0,Amiens,26.5,2019
1,Angers,28.0,2019
2,Bordeaux,25.3,2019
3,Caen,25.8,2019
4,Dijon,27.1,2019
5,Guingamp,26.0,2019
6,Lille,24.1,2019
7,Lyon,24.4,2019
8,Marseille,26.9,2019
9,Monaco,25.6,2019
10,Montpellier,28.0,2019
11,Nantes,25.9,2019
12,Nice,24.2,2019
13,Nimes,24.1,2019
14,Paris Saint Germain,26.2,2019
15,Reims,26.2,2019
16,Rennes,25.7,2019
17,Saint Etienne,27.8,2019
18,Strasbourg,26.2,2019
19,Toulouse,25.5,2019
20,Amiens,27.4,2020
21,Angers,28.0,2020
22,Bordeaux,26.9,2020
23,Brest,26.1,2020
24,Dijon,26.9,2020
25,Lille,24.3,2020
26,Lyon,24.8,2020
27,Marseille,27.1,2020
28,Metz,25.9,2020
29,Monaco,26.0,2020
30,Montpellier,28.5,2020
31,Nantes,25.4,2020
32,Nice,23.9,2020
33,Nimes,25.4,2020
34,Paris Saint Germain,27.2,2020
35,Reims,25.3,2020
36,Rennes,25.5,2020
37,Saint Etienne,27.0,2020
38,Strasbourg,25.8,2020
39,Toulouse,25.1,2020
40,Angers,27.9,2021
41,Bordeaux,27.6,2021
42,Brest,24.9,2021
43,Dijon,25.7,2021
44,Lens,26.4,2021
45,Lille,25.4,2021
46,Lorient,26.8,2021
47,Lyon,25.8,2021
48,Marseille,27.2,2021
49,Metz,25.7,2021
50,Monaco,24.8,2021
51,Montpellier,28.0,2021
52,Nantes,25.8,2021
53,Nice,23.5,2021
54,Nimes,25.8,2021
55,Paris Saint Germain,26.7,2021
56,Reims,24.6,2021
57,Rennes,25.5,2021
58,Saint Etienne,25.4,2021
59,Strasbourg,26.8,2021
60,Angers,27.4,2022
61,Bordeaux,25.7,2022
62,Brest,25.4,2022
63,Clermont Foot,26.9,2022
64,Lens,26.1,2022
65,Lille,26.1,2022
66,Lorient,26.2,2022
67,Lyon,25.6,2022
68,Marseille,25.0,2022
69,Metz,25.9,2022
70,Monaco,24.4,2022
71,Montpellier,25.8,2022
72,Nantes,26.1,2022
73,Nice,25.0,2022
74,Paris Saint Germain,27.8,2022
75,Reims,24.0,2022
76,Rennes,25.3,2022
77,Saint Etienne,25.1,2022
78,Strasbourg,27.0,2022
79,Troyes,27.1,2022
80,Ajaccio,29.1,2023
81,Angers,25.7,2023
82,Auxerre,27.3,2023
83,Brest,26.6,2023
84,Clermont Foot,27.2,2023
85,Lens,26.4,2023
86,Lille,26.0,2023
87,Lorient,25.2,2023
88,Lyon,25.5,2023
89,Marseille,27.3,2023
90,Monaco,24.7,2023
91,Montpellier,26.0,2023
92,Nantes,26.7,2023
93,Nice,26.5,2023
94,Paris Saint Germain,26.9,2023
95,Reims,24.9,2023
96,Rennes,25.2,2023
97,Strasbourg,27.3,2023
98,Toulouse,25.1,2023
99,Troyes,25.8,2023
