,team,age,season
0,Arsenal,26.7,2019
1,Bournemouth,26.6,2019
2,Brighton and Hove Albion,27.4,2019
3,Burnley,28.0,2019
4,Cardiff City,27.7,2019
5,Chelsea,27.3,2019
6,Crystal Palace,27.4,2019
7,Everton,25.7,2019
8,Fulham,26.0,2019
9,Huddersfield Town,26.2,2019
10,Leicester City,25.9,2019
11,Liverpool,26.1,2019
12,Manchester City,26.7,2019
13,Manchester United,26.3,2019
14,Newcastle United,26.9,2019
15,Southampton,25.4,2019
16,Tottenham Hotspur,26.8,2019
17,Watford,28.5,2019
18,West Ham United,27.6,2019
19,Wolverhampton Wanderers,26.1,2019
20,Arsenal,25.8,2020
21,Aston Villa,25.7,2020
22,Bournemouth,25.2,2020
23,Brighton and Hove Albion,26.4,2020
24,Burnley,28.0,2020
25,Chelsea,25.5,2020
26,Crystal Palace,29.4,2020
27,Everton,25.5,2020
28,Leicester City,26.1,2020
29,Liverpool,26.6,2020
30,Manchester City,26.9,2020
31,Manchester United,24.8,2020
32,Newcastle United,26.5,2020
33,Norwich City,26.0,2020
34,Sheffield United,26.9,2020
35,Southampton,25.9,2020
36,Tottenham Hotspur,26.7,2020
37,Watford,28.9,2020
38,West Ham United,27.4,2020
39,Wolverhampton Wanderers,26.6,2020
40,Arsenal,25.9,2021
41,Aston Villa,25.2,2021
42,Brighton and Hove Albion,25.8,2021
43,Burnley,28.3,2021
44,Chelsea,26.0,2021
45,Crystal Palace,29.1,2021
46,Everton,26.3,2021
47,Fulham,25.2,2021
48,Leeds United,26.1,2021
49,Leicester City,26.5,2021
50,Liverpool,26.8,2021
51,Manchester City,26.1,2021
52,Manchester United,25.6,2021
53,Newcastle United,27.1,2021
54,Sheffield United,26.7,2021
55,Southampton,26.6,2021
56,Tottenham Hotspur,27.2,2021
57,West Bromwich Albion,26.4,2021
58,West Ham United,27.8,2021
59,Wolverhampton Wanderers,26.3,2021
60,Arsenal,24.4,2022
61,Aston Villa,26.1,2022
62,Brentford,25.4,2022
63,Brighton and Hove Albion,26.2,2022
64,Burnley,28.5,2022
65,Chelsea,27.4,2022
66,Crystal Palace,27.1,2022
67,Everton,26.7,2022
68,Leeds United,26.1,2022
69,Leicester City,26.5,2022
70,Liverpool,27.7,2022
71,Manchester City,27.0,2022
72,Manchester United,27.2,2022
73,Newcastle United,27.5,2022
74,Norwich City,26.2,2022
75,Southampton,25.7,2022
76,Tottenham Hotspur,26.5,2022
77,Watford,28.4,2022
78,West Ham United,28.2,2022
79,Wolverhampton Wanderers,27.3,2022
80,Arsenal,24.7,2023
81,Aston Villa,27.0,2023
82,Bournemouth,26.3,2023
83,Brentford,26.2,2023
84,Brighton and Hove Albion,26.3,2023
85,Chelsea,26.3,2023
86,Crystal Palace,26.7,2023
87,Everton,26.6,2023
88,Fulham,28.2,2023
89,Leeds United,25.3,2023
90,Leicester City,26.1,2023
91,Liverpool,27.4,2023
92,Manchester City,27.2,2023
93,Manchester United,26.9,2023
94,Newcastle United,27.3,2023
95,Nottingham Forest,26.5,2023
96,Southampton,24.7,2023
97,Tottenham Hotspur,27.6,2023
98,West Ham United,28.2,2023
99,Wolverhampton Wanderers,26.7,2023
