,team,age,season
0,Atalanta,26.5,2019
1,Bologna,27.0,2019
2,Cagliari,27.9,2019
3,Chievo,28.3,2019
4,Empoli,26.4,2019
5,Fiorentina,24.1,2019
6,Frosinone,26.4,2019
7,Genoa,26.0,2019
8,Internazionale,27.7,2019
9,Juventus,28.0,2019
10,Lazio,27.9,2019
11,Milan,24.8,2019
12,Napoli,27.0,2019
13,Parma,29.4,2019
14,Roma,27.5,2019
15,Sampdoria,26.1,2019
16,Sassuolo,25.4,2019
17,SPAL,27.8,2019
18,Torino,27.6,2019
19,Udinese,25.3,2019
20,Atalanta,27.2,2020
21,Bologna,27.2,2020
22,Brescia,25.6,2020
23,Cagliari,27.4,2020
24,Fiorentina,25.1,2020
25,Genoa,26.8,2020
26,Hellas Verona,26.1,2020
27,Internazionale,27.7,2020
28,Juventus,28.6,2020
29,Lazio,27.9,2020
30,Lecce,28.7,2020
31,Milan,24.6,2020
32,Napoli,26.9,2020
33,Parma,28.8,2020
34,Roma,26.9,2020
35,Sampdoria,26.0,2020
36,Sassuolo,26.4,2020
37,SPAL,27.5,2020
38,Torino,27.3,2020
39,Udinese,26.5,2020
40,Atalanta,27.3,2021
41,Benevento,28.7,2021
42,Bologna,27.2,2021
43,Cagliari,26.5,2021
44,Crotone,27.8,2021
45,Fiorentina,26.6,2021
46,Genoa,28.3,2021
47,Hellas Verona,26.2,2021
48,Internazionale,27.7,2021
49,Juventus,27.7,2021
50,Lazio,29.4,2021
51,Milan,24.4,2021
52,Napoli,27.1,2021
53,Parma,28.0,2021
54,Roma,26.7,2021
55,Sampdoria,27.9,2021
56,Sassuolo,26.5,2021
57,Spezia,25.2,2021
58,Torino,26.9,2021
59,Udinese,27.2,2021
60,Atalanta,27.5,2022
61,Bologna,26.6,2022
62,Cagliari,26.5,2022
63,Empoli,24.5,2022
64,Fiorentina,26.4,2022
65,Genoa,27.0,2022
66,Hellas Verona,26.8,2022
67,Internazionale,28.9,2022
68,Juventus,27.4,2022
69,Lazio,29.0,2022
70,Milan,25.6,2022
71,Napoli,27.9,2022
72,Roma,26.4,2022
73,Salernitana,27.7,2022
74,Sampdoria,29.0,2022
75,Sassuolo,26.1,2022
76,Spezia,24.4,2022
77,Torino,25.2,2022
78,Udinese,26.2,2022
79,Venezia,26.1,2022
80,Atalanta,26.5,2023
81,Bologna,26.6,2023
82,Cremonese,26.0,2023
83,Empoli,25.3,2023
84,Fiorentina,26.5,2023
85,Hellas Verona,26.6,2023
86,Internazionale,28.8,2023
87,Juventus,27.7,2023
88,Lazio,28.6,2023
89,Lecce,24.8,2023
90,Milan,26.0,2023
91,Monza,26.6,2023
92,Napoli,26.4,2023
93,Roma,27.4,2023
94,Salernitana,27.2,2023
95,Sampdoria,27.9,2023
96,Sassuolo,26.1,2023
97,Spezia,25.7,2023
98,Torino,25.2,2023
99,Udinese,26.1,2023
