,team,wwages,awages,season
 0,Barcelona,5152596071,267935000,2019
 1,Real Madrid,4466808176,232274000,2019
 2,Atletico Madrid,3896462930,202616000,2019
 3,Sevilla,1487212635,77335000,2019
 4,Valencia,1454231024,75620000,2019
 5,Celta Vigo,1340096708,69685000,2019
 6,Athletic Club,1089365,56647000,2019
 7,Villarreal,945865,49185000,2019
 8,Real Sociedad,732712,38101000,2019
 9,Real Betis,711269,36986000,2019
10,Levante,696885,36238000,2019
11,Espanyol,612442,31847000,2019
12,Alaves,434904,22615000,2019
13,Rayo Vallecano,399712,20785000,2019
14,Eibar,386212,20083000,2019
15,Getafe,368750,19175000,2019
16,Girona,357385,18584000,2019
17,Valladolid,316346,16450000,2019
18,Huesca,296865,15437000,2019
19,Real Madrid,6850000,356200000,2020
20,Barcelona,6631731,344850000,2020
21,Atletico Madrid,3182692,165500000,2020
22,Valencia,1448846,75340000,2020
23,Sevilla,1259808,65510000,2020
24,Villarreal,1142115,59390000,2020
25,Athletic Club,929423,48330000,2020
26,Real Sociedad,751731,39090000,2020
27,Celta Vigo,721731,37530000,2020
28,Real Betis,696538,36220000,2020
29,Leganes,679231,35320000,2020
30,Espanyol,644615,33520000,2020
31,Getafe,508846,26460000,2020
32,Alaves,468558,24365000,2020
33,Granada,421731,21930000,2020
34,Levante,360577,18750000,2020
35,Eibar,355385,18480000,2020
36,Valladolid,290192,15090000,2020
37,Osasuna,272692,14180000,2020
38,Mallorca,240769,12520000,2020
39,Barcelona,6766923,351880000,2021
40,Real Madrid,6044038,314290000,2021
41,Atletico Madrid,3276731,170390000,2021
42,Villarreal,1857115,96570000,2021
43,Sevilla,1797885,93490000,2021
44,Valencia,1449808,75390000,2021
45,Athletic Club,1394615,72520000,2021
46,Real Sociedad,98153897,51040000,2021
47,Celta Vigo,815000,42380000,2021
48,Real Betis,760385,39540000,2021
49,Granada,520385,27060000,2021
50,Getafe,495962,25790000,2021
51,Osasuna,483462,25140000,2021
52,Alaves,450192,23410000,2021
53,Valladolid,446731,23230000,2021
54,Cadiz,373269,19410000,2021
55,Levante,358654,18650000,2021
56,Eibar,358462,18640000,2021
57,Huesca,330962,17210000,2021
58,Elche,259712,13505000,2021
59,Real Madrid,6203654,322590000,2022
60,Barcelona,4860481,252745000,2022
61,Atletico Madrid,3217885,167330000,2022
62,Villarreal,2039615,106060000,2022
63,Sevilla,1908462,99240000,2022
64,Valencia,1323462,68820000,2022
65,Athletic Club,1232692,64100000,2022
66,Real Sociedad,970192,50450000,2022
67,Real Betis,922500,47970000,2022
68,Celta Vigo,738077,38380000,2022
69,Getafe,730865,38005000,2022
70,Espanyol,568462,29560000,2022
71,Granada,498846,25940000,2022
72,Alaves,455288,23675000,2022
73,Mallorca,411346,21390000,2022
74,Cadiz,383654,19950000,2022
75,Levante,375865,19545000,2022
76,Elche,371442,19315000,2022
77,Osasuna,325000,16900000,2022
78,Rayo Vallecano,204519,10635000,2022
79,Real Madrid,5595192,290950000,2023
80,Barcelona,5163654,268510000,2023
81,Atletico Madrid,2908269,151230000,2023
82,Sevilla,1421731,73930000,2023
83,Athletic Club,1219038,63390000,2023
84,Villarreal,1042308,54200000,2023
85,Valencia,91576958,47620000,2023
86,Real Betis,831538,43240000,2023
87,Real Sociedad,828462,43080000,2023
88,Getafe,656058,34115000,2023
89,Celta Vigo,615000,31980000,2023
90,Espanyol,478654,24890000,2023
91,Valladolid,363750,18915000,2023
92,Mallorca,350769,18240000,2023
93,Osasuna,339519,17655000,2023
94,Cadiz,335385,17440000,2023
95,Girona,332981,17315000,2023
96,Elche,325288,16915000,2023
97,Almeria,268558,13965000,2023
98,Rayo Vallecano,243462,12660000,2023
