,team,wwages,awages,season
0,Paris Saint Germain,3863346,200894000,2019
1,Monaco,1579635,82141000,2019
2,Marseille,1448192,75306000,2019
3,Lyon,925365,48119000,2019
4,Nice,578558,30085000,2019
5,Lille,537673,27959000,2019
6,Rennes,513058,26679000,2019
7,Saint Etienne,444096,23093000,2019
8,Bordeaux,439538,22856000,2019
9,Nantes,438635,22809000,2019
10,Toulouse,354346,18426000,2019
11,Guingamp,316096,16437000,2019
12,Angers,299846,15592000,2019
13,Strasbourg,263135,13683000,2019
14,Montpellier,254442,13231000,2019
15,Reims,253577,13186000,2019
16,Caen,238923,12424000,2019
17,Dijon,237885,12370000,2019
18,Amiens,217981,11335000,2019
19,Nimes,171269,8906000,2019
20,Paris Saint Germain,4640192,241290000,2020
21,Monaco,1524615,79280000,2020
22,Lyon,1210385,62940000,2020
23,Marseille,949038,49350000,2020
24,Rennes,679423,35330000,2020
25,Lille,601923,31300000,2020
26,Bordeaux,562885,29270000,2020
27,Saint Etienne,508846,26460000,2020
28,Nice,473654,24630000,2020
29,Toulouse,373077,19400000,2020
30,Nantes,364615,18960000,2020
31,Montpellier,330962,17210000,2020
32,Amiens,266538,13860000,2020
33,Angers,251346,13070000,2020
34,Strasbourg,250577,13030000,2020
35,Reims,235385,12240000,2020
36,Metz,211923,11020000,2020
37,Dijon,200769,10440000,2020
38,Nimes,154038,8010000,2020
39,Brest,148846,7740000,2020
40,Paris Saint Germain,4664231,242540000,2021
41,Monaco,1152115,59910000,2021
42,Lyon,1065962,55430000,2021
43,Marseille,1021731,53130000,2021
44,Rennes,556538,28940000,2021
45,Lille,524615,27280000,2021
46,Bordeaux,472308,24560000,2021
47,Nice,449231,23360000,2021
48,Saint Etienne,384423,19990000,2021
49,Nantes,361538,18800000,2021
50,Montpellier,304038,15810000,2021
51,Angers,273846,14240000,2021
52,Strasbourg,269615,14020000,2021
53,Dijon,205192,10670000,2021
54,Brest,192885,10030000,2021
55,Metz,183846,9560000,2021
56,Reims,183462,9540000,2021
57,Lorient,179423,9330000,2021
58,Lens,163462,8500000,2021
59,Nimes,159615,8300000,2021
60,Paris Saint Germain,8321154,432700000,2022
61,Lyon,1314423,68350000,2022
62,Marseille,1071346,55710000,2022
63,Monaco,1016154,52840000,2022
64,Nice,559615,29100000,2022
65,Lille,540385,28100000,2022
66,Bordeaux,532115,27670000,2022
67,Rennes,460000,23920000,2022
68,Saint Etienne,390962,20330000,2022
69,Nantes,365192,18990000,2022
70,Strasbourg,265962,13830000,2022
71,Montpellier,236923,12320000,2022
72,Angers,233654,12150000,2022
73,Troyes,206346,10730000,2022
74,Reims,204615,10640000,2022
75,Brest,201346,10470000,2022
76,Metz,197115,10250000,2022
77,Lens,189423,9850000,2022
78,Lorient,173269,9010000,2022
79,Clermont Foot,92692,4820000,2022
80,Paris Saint Germain,6953654,361590000,2023
81,Marseille,1317308,68500000,2023
82,Monaco,1127500,58630000,2023
83,Lyon,998269,51910000,2023
84,Nice,828846,43100000,2023
85,Rennes,597692,31080000,2023
86,Lille,511923,26620000,2023
87,Nantes,363462,18900000,2023
88,Troyes,322500,16770000,2023
89,Angers,298846,15540000,2023
90,Montpellier,283077,14720000,2023
91,Strasbourg,262308,13640000,2023
92,Reims,242500,12610000,2023
93,Brest,219423,11410000,2023
94,Lens,215385,11200000,2023
95,Auxerre,203462,10580000,2023
96,Lorient,164615,8560000,2023
97,Toulouse,153077,7960000,2023
98,Clermont Foot,134038,6970000,2023
99,Ajaccio,124615,6480000,2023
