,team,wwages,awages,season
0,Chelsea,3028981,157507000,2019
1,Manchester United,2910096,151325000,2019
2,Manchester City,2896365,150611000,2019
3,Arsenal,2603077,135360000,2019
4,Liverpool,2451154,127460000,2019
5,Tottenham Hotspur,1753962,91206000,2019
6,Everton,1648212,85707000,2019
7,West Ham United,1592212,82795000,2019
8,Leicester City,1536538,79900000,2019
9,Crystal Palace,1436558,74701000,2019
10,Southampton,1394510,72514500,2019
11,Bournemouth,1013269,52690000,2019
12,Fulham,979212,50919000,2019
13,Newcastle United,958558,49845000,2019
14,Watford,949962,49398000,2019
15,Burnley,851212,44263000,2019
16,Brighton and Hove Albion,823481,42821000,2019
17,Wolverhampton Wanderers,715135,37187000,2019
18,Huddersfield Town,675288,35115000,2019
19,Cardiff City,634423,32990000,2019
20,Manchester United,3181538,165440000,2020
21,Manchester City,2865192,148990000,2020
22,Chelsea,2300962,119650000,2020
23,Arsenal,2279615,118540000,2020
24,Liverpool,2209038,114870000,2020
25,Tottenham Hotspur,2068846,107580000,2020
26,Everton,1690962,87930000,2020
27,West Ham United,1432808,74506000,2020
28,Crystal Palace,1428654,74290000,2020
29,Leicester City,1414038,73530000,2020
30,Newcastle United,1294423,67310000,2020
31,Watford,1109038,57670000,2020
32,Wolverhampton Wanderers,1040962,54130000,2020
33,Southampton,1029615,53540000,2020
34,Aston Villa,983654,51150000,2020
35,Brighton and Hove Albion,936923,48720000,2020
36,Burnley,855192,44470000,2020
37,Bournemouth,814423,42350000,2020
38,Norwich City,503654,26190000,2020
39,Sheffield United,465000,24180000,2020
40,Manchester United,3719423,193410000,2021
41,Chelsea,2842538,147811988,2021
42,Arsenal,2835577,147450000,2021
43,Manchester City,2647654,137678000,2021
44,Tottenham Hotspur,2586077,134476000,2021
45,Liverpool,2517692,130920000,2021
46,Everton,1770635,92073000,2021
47,Crystal Palace,1706442,88735000,2021
48,Leicester City,1490885,77526000,2021
49,West Ham United,1278385,66476000,2021
50,Aston Villa,1194481,62113024,2021
51,Newcastle United,1106654,57546000,2021
52,Southampton,1099692,57184000,2021
53,Fulham,1003247,52168824,2021
54,Brighton and Hove Albion,991902,51578900,2021
55,Wolverhampton Wanderers,990650,51513800,2021
56,West Bromwich Albion,713235,37088200,2021
57,Burnley,706750,36751000,2021
58,Leeds United,465123,24186400,2021
59,Sheffield United,386292,20087200,2021
60,Manchester United,4593269,238850000,2022
61,Chelsea,3382500,175890000,2022
62,Manchester City,2914462,151552000,2022
63,Liverpool,2777154,144412000,2022
64,Arsenal,2199423,114370000,2022
65,Tottenham Hotspur,2119038,110190000,2022
66,Everton,1782654,92698000,2022
67,West Ham United,1433769,74556000,2022
68,Leicester City,1430192,74370000,2022
69,Crystal Palace,1402885,72950000,2022
70,Aston Villa,1374808,71490000,2022
71,Newcastle United,1318654,68570000,2022
72,Wolverhampton Wanderers,1101346,57270000,2022
73,Southampton,1011154,52580000,2022
74,Brighton and Hove Albion,893654,46470000,2022
75,Watford,795769,41380000,2022
76,Burnley,760000,39520000,2022
77,Norwich City,602308,31320000,2022
78,Leeds United,457885,23810000,2022
79,Brentford,406346,21130000,2022
80,Manchester United,4394500,228514000,2023
81,Manchester City,3745000,194740000,2023
82,Chelsea,3655000,190060000,2023
83,Liverpool,3115000,161980000,2023
84,Tottenham Hotspur,2102500,109330000,2023
85,Arsenal,1955000,101660000,2023
86,Aston Villa,1935000,100620000,2023
87,Everton,1631000,84812000,2023
88,Newcastle United,1593000,82836000,2023
89,West Ham United,1585000,82420000,2023
90,Leicester City,1515000,78780000,2023
91,Crystal Palace,1285000,66820000,2023
92,Fulham,1045000,54340000,2023
93,Nottingham Forest,1027500,53430000,2023
94,Wolverhampton Wanderers,1003500,52182000,2023
95,Southampton,953000,49556000,2023
96,Leeds United,949500,49374000,2023
97,Bournemouth,739000,38428000,2023
98,Brighton and Hove Albion,738000,38376000,2023
99,Brentford,618000,32136000,2023
