,team,wwages,awages,season
0,Juventus,4563596,237307000,2019
1,Milan,2744096,142693000,2019
2,Internazionale,2279385,118528000,2019
3,Roma,2020481,105065000,2019
4,Napoli,1825904,94947000,2019
5,Lazio,1251827,65095000,2019
6,Torino,859154,44676000,2019
7,Fiorentina,825212,42911000,2019
8,Bologna,779942,40557000,2019
9,Sampdoria,751519,39079000,2019
10,Atalanta,747808,38886000,2019
11,Genoa,734038,38170000,2019
12,Sassuolo,698981,36347000,2019
13,Udinese,677981,35255000,2019
14,Cagliari,616788,32073000,2019
15,Parma,478923,24904000,2019
16,SPAL,470596,24471000,2019
17,Chievo,464827,24171000,2019
18,Frosinone,432712,22501000,2019
19,Empoli,378000,19656000,2019
20,Juventus,4914231,255540000,2020
21,Internazionale,2242692,116620000,2020
22,Roma,2228462,115880000,2020
23,Milan,2022885,105190000,2020
24,Napoli,1941923,100980000,2020
25,Lazio,1232885,64110000,2020
26,Genoa,919423,47810000,2020
27,Fiorentina,918654,47770000,2020
28,Torino,890000,46280000,2020
29,Cagliari,824038,42850000,2020
30,Sampdoria,714808,37170000,2020
31,Bologna,709231,36880000,2020
32,Atalanta,708077,36820000,2020
33,Lecce,621538,32320000,2020
34,SPAL,595000,30940000,2020
35,Sassuolo,593077,30840000,2020
36,Parma,552692,28740000,2020
37,Hellas Verona,525962,27350000,2020
38,Udinese,395962,20590000,2020
39,Brescia,311346,16190000,2020
40,Juventus,4156346,216130000,2021
41,Internazionale,2670769,138880000,2021
42,Roma,2176346,113170000,2021
43,Napoli,2065769,107420000,2021
44,Lazio,1676346,87170000,2021
45,Milan,1621923,84340000,2021
46,Cagliari,1149038,59750000,2021
47,Fiorentina,997885,51890000,2021
48,Torino,960962,49970000,2021
49,Atalanta,849423,44170000,2021
50,Parma,794038,41290000,2021
51,Genoa,788077,40980000,2021
52,Bologna,688654,35810000,2021
53,Benevento,623269,32410000,2021
54,Sassuolo,608269,31630000,2021
55,Sampdoria,587885,30570000,2021
56,Udinese,572308,29760000,2021
57,Hellas Verona,559615,29100000,2021
58,Spezia,386923,20120000,2021
59,Crotone,365192,18990000,2021
60,Juventus,3479808,180950000,2022
61,Internazionale,2950769,153440000,2022
62,Napoli,1989231,103440000,2022
63,Roma,1914423,99550000,2022
64,Milan,1684423,87590000,2022
65,Lazio,1508462,78440000,2022
66,Fiorentina,1128846,58700000,2022
67,Torino,1029808,53550000,2022
68,Atalanta,891346,46350000,2022
69,Genoa,813462,42300000,2022
70,Sampdoria,721154,37500000,2022
71,Empoli,710192,36930000,2022
72,Cagliari,649231,33760000,2022
73,Bologna,579423,30130000,2022
74,Sassuolo,533846,27760000,2022
75,Salernitana,443269,23050000,2022
76,Venezia,440962,22930000,2022
77,Udinese,430962,22410000,2022
78,Hellas Verona,413269,21490000,2022
79,Spezia,318462,16560000,2022
80,Juventus,3141731,163370000,2023
81,Internazionale,2580000,134160000,2023
82,Roma,1799423,93570000,2023
83,Milan,1602885,83350000,2023
84,Napoli,1332038,69266000,2023
85,Lazio,1280000,66560000,2023
86,Fiorentina,1021154,53100000,2023
87,Monza,800135,41607000,2023
88,Atalanta,785327,40837000,2023
89,Torino,675577,35130000,2023
90,Bologna,634462,32992000,2023
91,Salernitana,633962,32966000,2023
92,Sassuolo,596846,31036000,2023
93,Empoli,517231,26896000,2023
94,Sampdoria,507231,26376000,2023
95,Spezia,417885,21730000,2023
96,Hellas Verona,408462,21240000,2023
97,Cremonese,391846,20376000,2023
98,Udinese,385231,20032000,2023
99,Lecce,317808,16526000,2023
